,l_measure,l_precision,l_recall,track_id
28,0.3008514527894061,0.21027995359445775,0.5284758695509546,SALAMI_110
29,0.4496684871710576,0.38732508228243234,0.5359313952407636,SALAMI_1100
30,0.42344640097836833,0.38992116081144196,0.46327890597715654,SALAMI_111
31,0.32819740028731814,0.4119807776338027,0.2727325459686331,SALAMI_1114
32,0.29627312018526253,0.2497464251195577,0.36410417731427136,SALAMI_1118
33,0.6124903038370606,0.5517444073463148,0.6882670562627234,SALAMI_1119
34,0.43641307919681555,0.4099133175041352,0.466575921441161,SALAMI_1120
35,0.5349094212275909,0.48230735525034596,0.6003899758534402,SALAMI_1127
36,0.4016615804861647,0.3209725644267902,0.5365425489856165,SALAMI_1128
37,0.31501501706859103,0.26122490117113323,0.39670186749342934,SALAMI_1134
38,0.3956860551168302,0.43291511475128547,0.36435307143855034,SALAMI_1139
39,0.5148041515146882,0.47085624605883286,0.5678004554685854,SALAMI_114
40,0.3721360321730312,0.30752229550167176,0.4711243086855516,SALAMI_1142
41,0.5519918711858773,0.5148069620927685,0.594966787066063,SALAMI_1143
42,0.6018480559258717,0.5278300467693559,0.7000111525873957,SALAMI_1146
43,0.0,0.0,0.0,SALAMI_1147
44,0.2596602322514307,0.255496411561771,0.26396201676564246,SALAMI_1155
45,0.7050236033186863,0.5716631692672225,0.9195380158487011,SALAMI_1156
46,0.04244371375990006,0.021684582224866276,0.9945145765916851,SALAMI_1162
47,0.4861394639041945,0.42857037217850996,0.5615748029812366,SALAMI_1166
48,0.5898133782089866,0.5086179336357971,0.7018574579763442,SALAMI_1174
49,0.36719773439249426,0.3149733805559903,0.44018245539528394,SALAMI_1176
50,0.5216434042748652,0.5086025714788681,0.5353705827135473,SALAMI_118
51,0.6351887260187917,0.5881699370555229,0.6903781213768402,SALAMI_1183
52,0.333265088920987,0.31738283535347234,0.35082061274813864,SALAMI_1184
53,0.26737802289044627,0.20901287845450556,0.37096774514324865,SALAMI_12
54,0.30629732627579176,0.21606908531223862,0.5259133746640817,SALAMI_120
55,0.49296259113795277,0.4198727628741171,0.5968620265794919,SALAMI_1202
56,0.42728475499686003,0.3818423569625521,0.4850042742632129,SALAMI_1203
57,0.40008384240109135,0.3485273335320358,0.4695415953386951,SALAMI_1204
58,0.38520507928829134,0.2878259444542944,0.582167881813271,SALAMI_1211
59,0.36681782062268303,0.2966596581443772,0.48043854609959313,SALAMI_1212
60,0.4610623390257725,0.42505452126390314,0.5037354899124358,SALAMI_1218
61,0.6583170305949548,0.5936765753199394,0.7387537171662624,SALAMI_1222
62,0.48443474543698256,0.4032846146155203,0.6064705563928974,SALAMI_1230
63,0.6727507521076764,0.6085358260868637,0.7521168756054114,SALAMI_1231
64,0.40328782001042446,0.30590735893335735,0.591620137150852,SALAMI_1232
65,0.38222083790599864,0.36377778245450954,0.40263384464120994,SALAMI_1239
66,0.5656779242941785,0.5595412337803517,0.5719507140537404,SALAMI_1240
67,0.5104574894418784,0.40996972001638676,0.6762013539955739,SALAMI_1246
68,0.4553695638171109,0.39453906816895457,0.5383771894853224,SALAMI_1259
69,0.5011108335233232,0.42069296327519373,0.6195393251055895,SALAMI_1260
70,0.6342127872998884,0.5690324509331389,0.7162571046882866,SALAMI_1268
71,0.5513010537842193,0.4263146545618436,0.7799723860572729,SALAMI_1274
72,0.6142473620056367,0.5562775207153118,0.6857048641849258,SALAMI_1279
73,0.2985247398406976,0.20810920432278207,0.5278597116546359,SALAMI_1283
74,0.39550844599099755,0.30681023515805395,0.5563473160040924,SALAMI_1286
75,0.34183035214456103,0.2880564646155945,0.42028922492455423,SALAMI_1287
76,0.45157349669008506,0.38689302189573876,0.542221699043505,SALAMI_1288
77,0.3838622879123281,0.27113580058802256,0.657024556222844,SALAMI_1290
78,0.024452162092792298,0.012378133346932323,0.9952895218885021,SALAMI_1295
79,0.6729127517805267,0.6175429171576386,0.7391896137279627,SALAMI_1296
80,0.6161627042130005,0.47586817563390915,0.8737641484094206,SALAMI_131
81,0.3234122674250903,0.28590749194275306,0.3722422667537995,SALAMI_1310
82,0.34083823892193615,0.2595990459433214,0.49608294789660384,SALAMI_1311
83,0.5341460342601239,0.46139842253475527,0.6341274243003948,SALAMI_1314
84,0.4471950766514954,0.36724320324047877,0.5716474371863368,SALAMI_1315
85,0.5140926914376412,0.40204817669998183,0.7127152390032356,SALAMI_1316
86,0.47139024128876555,0.36374986207143056,0.6695110752626506,SALAMI_1318
87,0.5646278132765017,0.46444433317489414,0.7199186682200054,SALAMI_1323
88,0.45661721824475066,0.38547150973083383,0.559969712331794,SALAMI_1330
89,0.4909259079266213,0.41551911231384564,0.5997698038463793,SALAMI_1339
90,0.3326827428576769,0.382592810207664,0.29429174255735674,SALAMI_1342
91,0.37541390166436944,0.34513471574360055,0.41151689573321426,SALAMI_1343
92,0.3294709818979053,0.23159720006767895,0.5706147652882301,SALAMI_1346
93,0.40839056986452726,0.35919238221559435,0.47320493168938726,SALAMI_135
94,0.47458306971943937,0.3859912118437598,0.6159559251134055,SALAMI_1350
95,0.40625689781593094,0.31972471411245296,0.557009138682992,SALAMI_1358
96,0.4432788520961342,0.3624229170248912,0.5705726343246217,SALAMI_1363
97,0.8170701814518548,0.7001199230244973,0.9809274166187317,SALAMI_1370
98,0.4407771936583822,0.4084156210097945,0.47870855814329594,SALAMI_1371
